Enhets-ID,Namn,Zon,Klassificering,Capabilities,Verktyg
cff48f8e-95a6-444c-b165-94b0567ea074,V-Rum Hörn,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
d2784fd7-d368-4d43-9f54-f84d6ea68616,WH2 ny  UTE Telldus ,Okänd,sensor,measure_temperature,homey:app:com.weather-sensors
d3b191a8-1238-4606-bec8-de6965c96b29,Tak Hall,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
d42b13ff-34db-4cf6-9602-2823e363f299,Rörelse Källarentre dörr MYGGSPRAY wrlss mtn sensor,Okänd,sensor,"measure_battery, button.identify, measure_luminance, alarm_motion",homey:manager:vdevice
d55bdd50-ce13-44b4-914e-27d423707e30,Källarentre-Spot-14,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
d6d46916-e9d7-450a-b596-91c0631db8b1,VS-BV-Kök Spisfläkt Rodret,Okänd,remote,measure_battery,homey:app:com.ikea.tradfri
d7615c6e-cb74-4f67-9c0c-29138502bb57,Garage Vänster,Okänd,socket,"onoff, dim",homey:manager:vdevice
d8e98da4-f2d8-4fb2-9125-522614add2a3,FK3 Generic Remote/Button,Okänd,remote,Ingen,homey:app:se.nexa
d91706c6-caba-407b-a560-574a65f2e0ea,02-Remote Control,Okänd,remote,alarm_battery,homey:app:com.ikea.tradfri
db83fd7e-89bd-42de-92fd-5fb8d87c2e5c,Rörelse-Vallhorn-04,Okänd,sensor,"alarm_motion, measure_luminance, measure_battery",homey:app:com.ikea.tradfri
dc018790-a765-4ee1-8d89-c7f718b02d31,WH2 ÖV UTE ,Okänd,sensor,"measure_temperature, measure_humidity",homey:app:com.weather-sensors
dcc4948c-ea89-416a-a030-b67e842b13d3,Huvudentre-RING,Okänd,doorbell,Ingen,homey:app:com.ring
e24d3a90-091a-4448-b1a6-4fdd078d3bfb,EWT0006,Okänd,remote,Ingen,homey:app:se.telldus
e62ecd48-e97e-4b77-a333-32c54e4d9317,Automower-GRIND,Okänd,socket,onoff,homey:app:se.nexa
e8d2636f-f095-4357-9ad8-1a5c2bfd8137,Rörelse-Vallhorn-03,Okänd,sensor,"alarm_motion, measure_luminance, measure_battery",homey:app:com.ikea.tradfri
e8e8f03c-5d6b-403b-a57f-b5e0016e196b,Spot-trapp-02 (GU10),Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
ea940587-18b6-4bb1-b921-67f90a942bb9,Inglasning Spotl On/Off,Okänd,socket,onoff,homey:app:se.nexa
ed1818cc-cd67-4fa3-8240-5388c71a306f,BV Hall Vä,Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
ef45fe56-4b00-4a99-b60f-e7c5dee12072,VS-AltanKlot Styrbar ,Okänd,remote,measure_battery,homey:app:com.ikea.tradfri
efb62cca-9740-4e3d-869e-8e4ed4418fb4,Rörelse 03 Smart PIR Motion Sensor,Okänd,sensor,"alarm_motion, alarm_battery",homey:app:com.tuya.zigbee
f04a901e-0c1f-484b-bfa8-cdee5875b806,ÖV Badrum termostat  4512744/45,Okänd,thermostat,"onoff, measure_power, meter_power, measure_temperature, target_temperature, my_4512744_thermostat_mode, my_ZV9092A_temperature_control_reference, my_ZV9092A_home_sensor, my_ZV9092A_floor_sensor",homey:app:net.filllip-namron
f1ddfe14-5117-4ece-9c5d-6e3846e16d7a,AltanSpot-02,Okänd,light,"onoff, dim, light_mode, light_hue, light_saturation, light_temperature",homey:app:com.ikea.tradfri
f1f9d2f3-cebe-4d25-80e6-05880c147687,Säng-VÄ (E14),Okänd,light,"onoff, dim, light_temperature",homey:app:com.ikea.tradfri
f2e30e2b-b1ca-4fb8-8163-4e50d4039ae9,k7 — ÖV Kontor,Okänd,thermostat,"measure_temperature, target_temperature, measure_battery, alarm_contact.window, netatmo_thermostat_mode",homey:app:com.netatmo
f3ab284d-e627-4db1-a64c-f7930822bfbe,Rörelse Ozzi PA-88R,Okänd,sensor,alarm_motion,homey:app:se.telldus
f817cf23-33b5-436b-b8d1-3ab431cf31bc,WH2 -- kanske garage el skyddsrum,Okänd,sensor,measure_temperature,homey:app:com.weather-sensors
f81885f5-b6cb-4dd6-afe2-551f94cc30db,Rörelse Garage LMDT-609,Okänd,sensor,alarm_motion,homey:app:se.nexa
f8b8b8c6-bff1-4d29-8cc0-cdfad126deaa,Klot-32,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
f8fc5582-6601-4b71-9208-0ad9e3d5dff8,Arbplats Generic Remote/Button,Okänd,remote,Ingen,homey:app:se.nexa
fdb27df2-3b4c-4588-9672-f986b17aea63,Rörelse Källarentre trappa MYGGSPRAY wrlss mtn sensor,Okänd,sensor,"measure_battery, button.identify, measure_luminance, alarm_motion",homey:manager:vdevice
fe638526-37c0-49d1-944f-c2751f87d67a,Klot-13,Okänd,light,"onoff, dim",homey:app:com.ikea.tradfri
ff9a4adf-c5d7-4825-a477-a9b8cba168d5,k7 regn (K7-INNE) — K7-regn,Okänd,sensor,"measure_rain, measure_rain.1h, measure_rain.24h, measure_battery",homey:app:com.netatmo
9436c9e1-7a35-44ca-bb03-42a91f7702b0,MYGGBETT door/window sensor,Okänd,sensor,"measure_battery, button.identify, alarm_contact",homey:app:com.ikea.tradfri
